Random,Quicksort recursive - rightmost,1000000,0.24
Constant,Quicksort recursive - rightmost,1000000,0.16
V-shaped,Quicksort recursive - rightmost,1000000,0.45
Random,Quicksort recursive - rightmost,2000000,0.50
Constant,Quicksort recursive - rightmost,2000000,0.32
V-shaped,Quicksort recursive - rightmost,2000000,1.00
Random,Quicksort recursive - rightmost,3000000,0.75
Constant,Quicksort recursive - rightmost,3000000,0.49
V-shaped,Quicksort recursive - rightmost,3000000,1.65
Random,Quicksort recursive - rightmost,4000000,1.04
Constant,Quicksort recursive - rightmost,4000000,0.66
V-shaped,Quicksort recursive - rightmost,4000000,2.20
Random,Quicksort recursive - rightmost,5000000,1.31
Constant,Quicksort recursive - rightmost,5000000,0.83
V-shaped,Quicksort recursive - rightmost,5000000,2.88
Random,Quicksort recursive - rightmost,6000000,1.59
Constant,Quicksort recursive - rightmost,6000000,1.02
V-shaped,Quicksort recursive - rightmost,6000000,3.58
Random,Quicksort recursive - rightmost,7000000,1.86
Constant,Quicksort recursive - rightmost,7000000,1.19
V-shaped,Quicksort recursive - rightmost,7000000,4.19
Random,Quicksort recursive - rightmost,8000000,2.13
Constant,Quicksort recursive - rightmost,8000000,1.37
V-shaped,Quicksort recursive - rightmost,8000000,4.81
Random,Quicksort recursive - rightmost,9000000,2.45
Constant,Quicksort recursive - rightmost,9000000,1.56
V-shaped,Quicksort recursive - rightmost,9000000,5.58
Random,Quicksort recursive - rightmost,10000000,2.74
Constant,Quicksort recursive - rightmost,10000000,1.74
V-shaped,Quicksort recursive - rightmost,10000000,6.29
